craft	minecraft:acacia_boat	1	3	minecraft:acacia_planks*5
craft	minecraft:acacia_button	1	2	minecraft:acacia_planks*1
craft	minecraft:acacia_chest_boat	1	2	minecraft:chest*1,minecraft:acacia_boat*1
craft	minecraft:acacia_door	3	3	minecraft:acacia_planks*6
craft	minecraft:acacia_fence	3	3	minecraft:acacia_planks*4,minecraft:stick*2
craft	minecraft:acacia_fence_gate	1	3	minecraft:stick*4,minecraft:acacia_planks*2
craft	minecraft:acacia_hanging_sign	6	3	minecraft:iron_chain*2,minecraft:stripped_acacia_log*6
craft	minecraft:acacia_planks	4	2	#minecraft:acacia_logs*1
craft	minecraft:acacia_pressure_plate	1	2	minecraft:acacia_planks*2
craft	minecraft:acacia_shelf	6	3	minecraft:stripped_acacia_log*6
craft	minecraft:acacia_sign	3	3	minecraft:acacia_planks*6,minecraft:stick*1
craft	minecraft:acacia_slab	6	3	minecraft:acacia_planks*3
craft	minecraft:acacia_stairs	4	3	minecraft:acacia_planks*6
craft	minecraft:acacia_trapdoor	2	3	minecraft:acacia_planks*6
craft	minecraft:acacia_wood	3	2	minecraft:acacia_log*4
craft	minecraft:activator_rail	6	3	minecraft:iron_ingot*6,minecraft:stick*2,minecraft:redstone_torch*1
craft	minecraft:amethyst_block	1	2	minecraft:amethyst_shard*4
craft	minecraft:andesite	2	2	minecraft:diorite*1,minecraft:cobblestone*1
craft	minecraft:andesite_slab	6	3	minecraft:andesite*3
craft	minecraft:andesite_stairs	4	3	minecraft:andesite*6
craft	minecraft:andesite_wall	6	3	minecraft:andesite*6
craft	minecraft:anvil	1	3	minecraft:iron_block*3,minecraft:iron_ingot*4
craft	minecraft:armor_stand	1	3	minecraft:stick*6,minecraft:smooth_stone_slab*1
craft	minecraft:arrow	4	3	minecraft:flint*1,minecraft:stick*1,minecraft:feather*1
craft	minecraft:bamboo_block	1	3	minecraft:bamboo*9
craft	minecraft:bamboo_button	1	2	minecraft:bamboo_planks*1
craft	minecraft:bamboo_chest_raft	1	2	minecraft:chest*1,minecraft:bamboo_raft*1
craft	minecraft:bamboo_door	3	3	minecraft:bamboo_planks*6
craft	minecraft:bamboo_fence	3	3	minecraft:bamboo_planks*4,minecraft:stick*2
craft	minecraft:bamboo_fence_gate	1	3	minecraft:stick*4,minecraft:bamboo_planks*2
craft	minecraft:bamboo_hanging_sign	6	3	minecraft:iron_chain*2,minecraft:stripped_bamboo_block*6
craft	minecraft:bamboo_mosaic	1	2	minecraft:bamboo_slab*2
craft	minecraft:bamboo_mosaic_slab	6	3	minecraft:bamboo_mosaic*3
craft	minecraft:bamboo_mosaic_stairs	4	3	minecraft:bamboo_mosaic*6
craft	minecraft:bamboo_planks	2	2	#minecraft:bamboo_blocks*1
craft	minecraft:bamboo_pressure_plate	1	2	minecraft:bamboo_planks*2
craft	minecraft:bamboo_raft	1	3	minecraft:bamboo_planks*5
craft	minecraft:bamboo_shelf	6	3	minecraft:stripped_bamboo_block*6
craft	minecraft:bamboo_sign	3	3	minecraft:bamboo_planks*6,minecraft:stick*1
craft	minecraft:bamboo_slab	6	3	minecraft:bamboo_planks*3
craft	minecraft:bamboo_stairs	4	3	minecraft:bamboo_planks*6
craft	minecraft:bamboo_trapdoor	2	3	minecraft:bamboo_planks*6
craft	minecraft:barrel	1	3	#minecraft:planks*6,#minecraft:wooden_slabs*2
craft	minecraft:beacon	1	3	minecraft:glass*5,minecraft:nether_star*1,minecraft:obsidian*3
craft	minecraft:beehive	1	3	#minecraft:planks*6,minecraft:honeycomb*3
craft	minecraft:beetroot_soup	1	3	minecraft:bowl*1,minecraft:beetroot*6
craft	minecraft:birch_boat	1	3	minecraft:birch_planks*5
craft	minecraft:birch_button	1	2	minecraft:birch_planks*1
craft	minecraft:birch_chest_boat	1	2	minecraft:chest*1,minecraft:birch_boat*1
craft	minecraft:birch_door	3	3	minecraft:birch_planks*6
