minecraft:acacia_sapling	minecraft:acacia_leaves,minecraft:potted_acacia_sapling
minecraft:allium	minecraft:potted_allium
minecraft:amethyst_shard	minecraft:amethyst_cluster
minecraft:apple	minecraft:dark_oak_leaves,minecraft:oak_leaves
minecraft:azalea	minecraft:azalea_leaves,minecraft:potted_azalea_bush
minecraft:azure_bluet	minecraft:potted_azure_bluet
minecraft:bamboo	minecraft:bamboo_sapling,minecraft:potted_bamboo
minecraft:beetroot	minecraft:beetroots
minecraft:beetroot_seeds	minecraft:beetroots
minecraft:big_dripleaf	minecraft:big_dripleaf_stem
minecraft:birch_sapling	minecraft:birch_leaves,minecraft:potted_birch_sapling
minecraft:black_candle	minecraft:black_candle_cake
minecraft:blue_candle	minecraft:blue_candle_cake
minecraft:blue_orchid	minecraft:potted_blue_orchid
minecraft:bone_meal	minecraft:composter
minecraft:book	minecraft:bookshelf
minecraft:brown_candle	minecraft:brown_candle_cake
minecraft:brown_mushroom	minecraft:brown_mushroom_block,minecraft:potted_brown_mushroom
minecraft:cactus	minecraft:potted_cactus
minecraft:candle	minecraft:candle_cake
minecraft:carrot	minecraft:carrots
minecraft:cauldron	minecraft:lava_cauldron,minecraft:powder_snow_cauldron,minecraft:water_cauldron
minecraft:charcoal	minecraft:campfire
minecraft:cherry_sapling	minecraft:cherry_leaves,minecraft:potted_cherry_sapling
minecraft:chorus_fruit	minecraft:chorus_plant
minecraft:clay_ball	minecraft:clay
minecraft:closed_eyeblossom	minecraft:potted_closed_eyeblossom
minecraft:coal	minecraft:coal_ore,minecraft:deepslate_coal_ore
minecraft:cobbled_deepslate	minecraft:deepslate
minecraft:cobblestone	minecraft:stone
minecraft:cocoa_beans	minecraft:cocoa
minecraft:cornflower	minecraft:potted_cornflower
minecraft:crimson_fungus	minecraft:potted_crimson_fungus
minecraft:crimson_roots	minecraft:potted_crimson_roots
minecraft:cyan_candle	minecraft:cyan_candle_cake
minecraft:dandelion	minecraft:potted_dandelion
minecraft:dark_oak_sapling	minecraft:dark_oak_leaves,minecraft:potted_dark_oak_sapling
minecraft:dead_brain_coral_block	minecraft:brain_coral_block
minecraft:dead_bubble_coral_block	minecraft:bubble_coral_block
minecraft:dead_bush	minecraft:potted_dead_bush
minecraft:dead_fire_coral_block	minecraft:fire_coral_block
minecraft:dead_horn_coral_block	minecraft:horn_coral_block
minecraft:dead_tube_coral_block	minecraft:tube_coral_block
minecraft:diamond	minecraft:deepslate_diamond_ore,minecraft:diamond_ore
minecraft:dirt	minecraft:dirt_path,minecraft:farmland,minecraft:grass_block,minecraft:mycelium,minecraft:podzol
minecraft:emerald	minecraft:deepslate_emerald_ore,minecraft:emerald_ore
minecraft:fern	minecraft:large_fern,minecraft:potted_fern
minecraft:flint	minecraft:gravel
