minecraft:acacia_button	axe	none
minecraft:acacia_door	axe	none
minecraft:acacia_fence	axe	none
minecraft:acacia_fence_gate	axe	none
minecraft:acacia_hanging_sign	axe	none
minecraft:acacia_leaves	shears	none
minecraft:acacia_log	axe	none
minecraft:acacia_planks	axe	none
minecraft:acacia_pressure_plate	axe	none
minecraft:acacia_shelf	axe	none
minecraft:acacia_sign	axe	none
minecraft:acacia_slab	axe	none
minecraft:acacia_stairs	axe	none
minecraft:acacia_trapdoor	axe	none
minecraft:acacia_wall_hanging_sign	axe	none
minecraft:acacia_wall_sign	axe	none
minecraft:acacia_wood	axe	none
minecraft:activator_rail	pickaxe	none
minecraft:amethyst_block	pickaxe	none
minecraft:amethyst_cluster	pickaxe	none
minecraft:ancient_debris	pickaxe	diamond
minecraft:andesite	pickaxe	none
minecraft:andesite_slab	pickaxe	none
minecraft:andesite_stairs	pickaxe	none
minecraft:andesite_wall	pickaxe	none
minecraft:anvil	pickaxe	none
minecraft:azalea_leaves	shears	none
minecraft:bamboo	axe	none
minecraft:bamboo_block	axe	none
minecraft:bamboo_button	axe	none
minecraft:bamboo_door	axe	none
minecraft:bamboo_fence	axe	none
minecraft:bamboo_fence_gate	axe	none
minecraft:bamboo_hanging_sign	axe	none
minecraft:bamboo_mosaic	axe	none
minecraft:bamboo_mosaic_slab	axe	none
minecraft:bamboo_mosaic_stairs	axe	none
minecraft:bamboo_planks	axe	none
minecraft:bamboo_pressure_plate	axe	none
minecraft:bamboo_shelf	axe	none
minecraft:bamboo_sign	axe	none
minecraft:bamboo_slab	axe	none
minecraft:bamboo_stairs	axe	none
minecraft:bamboo_trapdoor	axe	none
minecraft:bamboo_wall_hanging_sign	axe	none
minecraft:bamboo_wall_sign	axe	none
minecraft:barrel	axe	none
minecraft:basalt	pickaxe	none
minecraft:bee_nest	axe	none
minecraft:beehive	axe	none
minecraft:bell	pickaxe	none
minecraft:big_dripleaf	axe	none
minecraft:big_dripleaf_stem	axe	none
minecraft:birch_button	axe	none
minecraft:birch_door	axe	none
minecraft:birch_fence	axe	none
minecraft:birch_fence_gate	axe	none
minecraft:birch_hanging_sign	axe	none
minecraft:birch_leaves	shears	none
minecraft:birch_log	axe	none
minecraft:birch_planks	axe	none
minecraft:birch_pressure_plate	axe	none
minecraft:birch_shelf	axe	none
