minecraft:acacia_leaves	overworld
minecraft:acacia_log	overworld
minecraft:air	overworld
minecraft:allium	overworld
minecraft:amethyst_block	overworld
minecraft:amethyst_cluster	overworld
minecraft:ancient_debris	nether
minecraft:andesite	overworld
minecraft:azalea	overworld
minecraft:azalea_leaves	overworld
minecraft:azure_bluet	overworld
minecraft:basalt	nether
minecraft:big_dripleaf	overworld
minecraft:big_dripleaf_stem	overworld
minecraft:birch_leaves	overworld
minecraft:birch_log	overworld
minecraft:blackstone	nether
minecraft:blue_ice	overworld
minecraft:blue_orchid	overworld
minecraft:brown_mushroom	overworld
minecraft:brown_mushroom_block	overworld
minecraft:budding_amethyst	overworld
minecraft:bush	overworld
minecraft:cactus	overworld
minecraft:cactus_flower	overworld
minecraft:calcite	overworld
minecraft:cave_vines	overworld
minecraft:cave_vines_plant	overworld
minecraft:cherry_leaves	overworld
minecraft:cherry_log	overworld
minecraft:clay	overworld
minecraft:closed_eyeblossom	overworld
minecraft:coal_ore	overworld
minecraft:copper_ore	overworld
minecraft:cornflower	overworld
minecraft:crimson_fungus	overworld
minecraft:crimson_nylium	overworld
minecraft:crimson_roots	overworld
minecraft:crimson_stem	overworld
minecraft:dandelion	overworld
minecraft:dark_oak_leaves	overworld
minecraft:dark_oak_log	overworld
minecraft:dead_bush	overworld
minecraft:deepslate_coal_ore	overworld
minecraft:deepslate_copper_ore	overworld
minecraft:deepslate_diamond_ore	overworld
minecraft:deepslate_emerald_ore	overworld
minecraft:deepslate_gold_ore	overworld
minecraft:deepslate_iron_ore	overworld
minecraft:deepslate_lapis_ore	overworld
minecraft:deepslate_redstone_ore	overworld
minecraft:diamond_ore	overworld
minecraft:diorite	overworld
minecraft:dirt	overworld
minecraft:dripstone_block	overworld
minecraft:emerald_ore	overworld
minecraft:fern	overworld
minecraft:fire	overworld
minecraft:firefly_bush	overworld
minecraft:flowering_azalea	overworld
minecraft:flowering_azalea_leaves	overworld
minecraft:gold_ore	overworld
minecraft:granite	overworld
minecraft:grass_block	overworld
minecraft:gravel	overworld
minecraft:hanging_roots	overworld
minecraft:hay_block	overworld
minecraft:iron_ore	overworld
minecraft:jack_o_lantern	overworld
minecraft:jungle_leaves	overworld
minecraft:jungle_log	overworld
minecraft:lapis_ore	overworld
minecraft:large_amethyst_bud	overworld
minecraft:large_fern	overworld
minecraft:lava	overworld
minecraft:leaf_litter	overworld
minecraft:lilac	overworld
minecraft:lily_of_the_valley	overworld
minecraft:lily_pad	overworld
minecraft:magma_block	overworld
minecraft:mangrove_leaves	overworld
minecraft:mangrove_log	overworld
minecraft:mangrove_propagule	overworld
minecraft:mangrove_roots	overworld
minecraft:medium_amethyst_bud	overworld
minecraft:melon	overworld
minecraft:moss_block	overworld
minecraft:moss_carpet	overworld
minecraft:mossy_cobblestone	overworld
minecraft:muddy_mangrove_roots	overworld
minecraft:mushroom_stem	overworld
minecraft:nether_gold_ore	nether
minecraft:nether_quartz_ore	nether
minecraft:nether_sprouts	overworld
minecraft:nether_wart_block	overworld
minecraft:netherrack	nether
minecraft:oak_leaves	overworld
minecraft:oak_log	overworld
minecraft:orange_tulip	overworld
minecraft:oxeye_daisy	overworld
minecraft:packed_ice	overworld
minecraft:pale_moss_block	overworld
minecraft:pale_moss_carpet	overworld
minecraft:pale_oak_leaves	overworld
minecraft:pale_oak_log	overworld
minecraft:peony	overworld
minecraft:pink_petals	overworld
minecraft:pink_tulip	overworld
minecraft:podzol	overworld
minecraft:pointed_dripstone	overworld
minecraft:poppy	overworld
minecraft:potent_sulfur	overworld
minecraft:pumpkin	overworld
minecraft:red_mushroom	overworld
minecraft:red_mushroom_block	overworld
minecraft:red_tulip	overworld
minecraft:redstone_ore	overworld
minecraft:rooted_dirt	overworld
minecraft:rose_bush	overworld
minecraft:sand	overworld
minecraft:sandstone	overworld
minecraft:short_dry_grass	overworld
minecraft:short_grass	overworld
minecraft:shroomlight	overworld
minecraft:small_amethyst_bud	overworld
minecraft:small_dripleaf	overworld
minecraft:smooth_basalt	overworld
minecraft:snow	overworld
minecraft:soul_fire	overworld
minecraft:soul_sand	nether
minecraft:spore_blossom	overworld
minecraft:spruce_leaves	overworld
minecraft:spruce_log	overworld
minecraft:stone	overworld
minecraft:sugar_cane	overworld
minecraft:sulfur	overworld
minecraft:sulfur_spike	overworld
minecraft:sunflower	overworld
minecraft:sweet_berry_bush	overworld
minecraft:tall_dry_grass	overworld
minecraft:tall_grass	overworld
minecraft:tuff	overworld
minecraft:warped_fungus	overworld
minecraft:warped_nylium	overworld
minecraft:warped_roots	overworld
minecraft:warped_stem	overworld
minecraft:warped_wart_block	overworld
minecraft:water	overworld
minecraft:white_tulip	overworld
minecraft:wildflowers	overworld
